epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2165,2.97571,1.24025,0.82495,0.46758,0.38026,0.33609,0.0895,2.84008,1.13904,0.80037,0.0011882,0.0011882,0.0011882
43,2220.2,2.93642,1.20222,0.82801,0.45942,0.36163,0.3204,0.08649,2.88089,1.16898,0.80665,0.0011684,0.0011684,0.0011684
44,2275.64,2.96145,1.20248,0.81562,0.42975,0.36102,0.30337,0.07669,2.98264,1.18644,0.80537,0.0011486,0.0011486,0.0011486
45,2326.5,3.04889,1.27975,0.8327,0.43796,0.36042,0.30137,0.07425,3.00934,1.18138,0.80609,0.0011288,0.0011288,0.0011288
46,2379.27,2.98518,1.2474,0.82355,0.47895,0.3597,0.32696,0.08859,2.86742,1.1662,0.80907,0.001109,0.001109,0.001109
47,2430.15,2.99834,1.23705,0.81255,0.48577,0.38693,0.3447,0.09386,2.79627,1.12871,0.80294,0.0010892,0.0010892,0.0010892
48,2485.3,2.93278,1.22794,0.81881,0.47381,0.35922,0.32423,0.0879,2.87321,1.11989,0.81106,0.0010694,0.0010694,0.0010694
49,2539.04,2.98704,1.21988,0.81639,0.49915,0.38831,0.35493,0.09652,2.79346,1.10285,0.80221,0.0010496,0.0010496,0.0010496
50,2596.15,2.9614,1.22702,0.82172,0.48753,0.39984,0.35255,0.09695,2.7762,1.10859,0.79943,0.0010298,0.0010298,0.0010298
51,2650.89,2.93978,1.19854,0.81258,0.48412,0.38351,0.34345,0.09379,2.80359,1.10547,0.80178,0.00101,0.00101,0.00101
52,2706.96,2.96308,1.21142,0.81105,0.4796,0.4007,0.35966,0.09926,2.75002,1.10989,0.79784,0.0009902,0.0009902,0.0009902
53,2757.9,2.92485,1.22176,0.80671,0.48403,0.39853,0.35808,0.10137,2.73444,1.10351,0.79834,0.0009704,0.0009704,0.0009704
54,2813.96,2.89127,1.17508,0.82966,0.45685,0.33938,0.29659,0.08194,2.88909,1.14706,0.81274,0.0009506,0.0009506,0.0009506
55,2874.77,2.90929,1.16942,0.82373,0.48163,0.37843,0.34026,0.0946,2.80843,1.12819,0.80594,0.0009308,0.0009308,0.0009308
56,2928.17,2.91212,1.17318,0.81246,0.48844,0.39421,0.35342,0.09772,2.75212,1.12247,0.7987,0.000911,0.000911,0.000911
57,2980.08,2.91019,1.16267,0.82164,0.47695,0.38266,0.33446,0.0941,2.761,1.14717,0.80282,0.0008912,0.0008912,0.0008912
58,3035.74,2.94732,1.17969,0.81306,0.48309,0.3924,0.34963,0.09461,2.8157,1.1347,0.80058,0.0008714,0.0008714,0.0008714
59,3089.9,2.85667,1.15903,0.8175,0.49212,0.37954,0.34964,0.09515,2.80923,1.12793,0.80038,0.0008516,0.0008516,0.0008516
60,3144.96,2.90116,1.1894,0.80693,0.48697,0.40466,0.35924,0.09719,2.77705,1.11166,0.79665,0.0008318,0.0008318,0.0008318
61,3199.67,2.85477,1.15767,0.81541,0.48901,0.37725,0.34166,0.09571,2.7842,1.09978,0.80477,0.000812,0.000812,0.000812
